year,gdp_growth,unemployment,delta_unemployment
1992,-0.544072051030298,7.086,0.19900000000000073
1993,4.92469000463774,6.03,-1.056
1994,5.8528703643893,6.579,0.5489999999999995
1995,4.2237936336472,7.092,0.5129999999999999
1996,2.20886405051482,8.035,0.9430000000000005
1997,3.39484598531597,9.003,0.968
1998,0.338097901952338,10.15,1.1470000000000002
1999,0.467937566679467,11.125,0.9749999999999996
2000,4.38794944364869,10.889,-0.23600000000000065
2001,1.3898964044581,10.649,-0.2400000000000002
2002,3.05346185683619,10.641,-0.007999999999999119
2003,1.14082899877101,11.168,0.5269999999999992
2004,5.75996463685998,10.072,-1.096
2005,3.20213206216255,10.551,0.479000000000001
2006,3.96198870899485,9.692,-0.859
2007,6.06987060733128,9.28,-0.4120000000000008
2008,5.09419544811998,8.268,-1.0119999999999987
2009,-0.12581200299141,9.419,1.1509999999999998
2010,7.52822581812151,8.42,-0.9990000000000006
2011,3.97442307944702,7.578,-0.8419999999999996
2012,1.92117598509462,7.251,-0.32699999999999996
2013,3.0048226702888,7.071,-0.1800000000000006
2014,0.503955740273241,6.755,-0.31599999999999984
2015,-3.54576339347278,8.538,1.7830000000000004
2016,-3.2759169063211,11.58,3.042
2017,1.32286905390815,12.792,1.2119999999999997
2018,1.78366676137003,12.329,-0.4629999999999992
2019,1.22077782271943,11.936,-0.3930000000000007
2020,-3.27675879612903,13.697,1.7609999999999992
2021,4.7626043797061,13.158,-0.5389999999999997
2022,3.01669435408112,9.231,-3.9269999999999996
2023,3.24165532813583,7.947,-1.2839999999999998
2024,3.41931516597739,6.801,-1.146
