year,gdp_growth,unemployment,delta_unemployment
1992,0.929215482921151,17.697,1.767999999999999
1993,-1.03149183695307,22.156,4.459
1994,2.38319537908909,24.209,2.053000000000001
1995,2.75749400293542,22.675,-1.533999999999999
1996,2.60741117110229,22.142,-0.5330000000000013
1997,3.58729972356299,20.698,-1.443999999999999
1998,4.30197745333581,18.673,-2.025000000000002
1999,4.40886545305924,15.475,-3.1979999999999986
2000,5.20064125553942,13.785,-1.6899999999999995
2001,3.91908880808811,10.348,-3.4369999999999994
2002,2.75545611564098,11.146,0.798
2003,2.9392895953076,11.283,0.13699999999999868
2004,3.1145314799161,11.09,-0.19299999999999962
2005,3.5512255846125,9.146,-1.943999999999999
2006,4.04343515605099,8.452,-0.6940000000000008
2007,3.53350013165972,8.232,-0.22000000000000064
2008,0.767165748290694,11.254,3.0220000000000002
2009,-3.76813306940053,17.857,6.603
2010,0.0941223116369514,19.86,2.003
2011,-0.639920636520344,21.39,1.5300000000000011
2012,-2.86511368637748,24.789,3.399000000000001
2013,-1.42732224757626,26.094,1.3049999999999997
2014,1.52048593647231,24.441,-1.6530000000000022
2015,4.06086672473866,22.057,-2.3840000000000003
2016,2.91515598595787,19.635,-2.421999999999997
2017,2.89604207865007,17.224,-2.4110000000000014
2018,2.39541124478878,15.255,-1.9689999999999994
2019,1.96117850841711,14.104,-1.1510000000000016
2020,-10.9400706350371,15.532,1.4280000000000008
2021,6.68314420473001,14.914,-0.6180000000000003
2022,6.37031712129601,13.033,-1.8810000000000002
2023,2.46085796805582,12.179,-0.8539999999999992
2024,3.45525405630191,11.4,-0.7789999999999999
