year,gdp_growth,unemployment
1991,1.0321895854696,6.887
1992,-0.544072051030298,7.086
1993,4.92469000463774,6.03
1994,5.8528703643893,6.579
1995,4.2237936336472,7.092
1996,2.20886405051482,8.035
1997,3.39484598531597,9.003
1998,0.338097901952338,10.15
1999,0.467937566679467,11.125
2000,4.38794944364869,10.889
2001,1.3898964044581,10.649
2002,3.05346185683619,10.641
2003,1.14082899877101,11.168
2004,5.75996463685998,10.072
2005,3.20213206216255,10.551
2006,3.96198870899485,9.692
2007,6.06987060733128,9.28
2008,5.09419544811998,8.268
2009,-0.12581200299141,9.419
2010,7.52822581812151,8.42
2011,3.97442307944702,7.578
2012,1.92117598509462,7.251
2013,3.0048226702888,7.071
2014,0.503955740273241,6.755
2015,-3.54576339347278,8.538
2016,-3.2759169063211,11.58
2017,1.32286905390815,12.792
2018,1.78366676137003,12.329
2019,1.22077782271943,11.936
2020,-3.27675879612903,13.697
2021,4.7626043797061,13.158
2022,3.01669435408112,9.231
2023,3.24165532813583,7.947
2024,3.41931516597739,6.801
