year,gdp_growth,unemployment
1991,7.21608815359085,13.502
1992,-2.097738754022,13.781
1993,-0.740591700332374,14.026
1994,10.5880004161286,13.858
1995,-5.40544787197402,14.054
1996,12.3728762700496,13.362
1997,-1.56070234550782,14.025
1998,7.23855267691987,13.359
1999,1.6970614772566,13.94
2000,2.58218091499747,13.58
2001,7.72182519577728,12.46
2002,3.73019737485745,11.59
2003,6.17110214953244,11.92
2004,4.57138016516208,10.83
2005,3.19224973015831,11.01
2006,7.7908200104027,9.67
2007,3.44106776690418,9.56
2008,5.68453936284732,9.57
2009,3.74576940136258,8.96
2010,3.49955709403216,9.09
2011,5.52464523319847,8.91
2012,3.06234368502997,8.99
2013,4.12221286860944,9.23
2014,2.7192440802029,9.7
2015,4.34458297635238,9.46
2016,0.52118550608968,9.3
2017,5.05789816173446,9.22
2018,3.06564133025955,9.272
2019,2.89097476137077,9.191
2020,-7.17820744246774,11.189
2021,8.15473889823681,10.551
2022,1.81269242194809,9.413
2023,3.65564411017931,8.896
2024,3.79336515978963,9.103
